"","FN","state","Metals","Avg","SD","SE","n"
"1","hppe_e425","new","Ag",0,0,0,3
"2","hppe_e425","new","Al",0,0,0,3
"3","hppe_e425","new","As",0,0,0,3
"4","hppe_e425","new","Cu",0,0,0,3
"5","hppe_e425","new","Fe",0,0,0,3
"6","hppe_e425","new","Mn",0,0,0,3
"7","hppe_e425","new","Zn",0,0,0,3
"8","hppe_e425","used","Ag",7.53,13.04,7.53,3
"9","hppe_e425","used","Al",0,0,0,3
"10","hppe_e425","used","As",23.01,39.86,23.01,3
"11","hppe_e425","used","Cu",46.42,80.4,46.42,3
"12","hppe_e425","used","Fe",17.61,30.5,17.61,3
"13","hppe_e425","used","Mn",4.5,7.79,4.5,3
"14","hppe_e425","used","Zn",41.47,71.82,41.47,3
"15","pa_a35","new","Ag",2.07,1.07,0.61,3
"16","pa_a35","new","Al",0,0,0,3
"17","pa_a35","new","As",6.44,3.43,1.98,3
"18","pa_a35","new","Cu",278.41,482.21,278.41,3
"19","pa_a35","new","Fe",7.71,10.39,6,3
"20","pa_a35","new","Mn",8.95,15.16,8.75,3
"21","pa_a35","new","Zn",0,0,0,3
"22","pa_a35","used","Ag",13.67,7.45,4.3,3
"23","pa_a35","used","Al",2.46,4.25,2.46,3
"24","pa_a35","used","As",4.46,5.07,2.93,3
"25","pa_a35","used","Cu",36.55,32.53,18.78,3
"26","pa_a35","used","Fe",27.69,18.29,10.56,3
"27","pa_a35","used","Mn",87.07,17.37,10.03,3
"28","pa_a35","used","Zn",874.48,104.51,60.34,3
"29","pa_b33","new","Ag",3.99,3.24,1.45,5
"30","pa_b33","new","Al",40.45,28.02,12.53,5
"31","pa_b33","new","As",0.06,0.14,0.06,5
"32","pa_b33","new","Cu",232.93,229.01,102.42,5
"33","pa_b33","new","Fe",17.18,15.86,7.09,5
"34","pa_b33","new","Mn",7.23,3.32,1.48,5
"35","pa_b33","new","Zn",48.7,27.29,12.21,5
"36","pa_b33","used","Ag",1.67,1.64,0.95,3
"37","pa_b33","used","Al",0,NA,NA,3
"38","pa_b33","used","As",0.01,0.01,0.01,3
"39","pa_b33","used","Cu",10.44,14.76,8.52,3
"40","pa_b33","used","Fe",0,0,0,3
"41","pa_b33","used","Mn",NA,NA,NA,3
"42","pa_b33","used","Zn",15.36,26.61,15.36,3
"43","pa_b95","new","Ag",3.43,6.43,2.88,5
"44","pa_b95","new","Al",60.84,NA,NA,5
"45","pa_b95","new","As",8.03,13.76,6.15,5
"46","pa_b95","new","Cu",8.01,16.69,7.47,5
"47","pa_b95","new","Fe",39.48,30.15,13.48,5
"48","pa_b95","new","Mn",8.22,5.5,2.46,5
"49","pa_b95","new","Zn",24.63,35.73,15.98,5
"50","pa_b95","used","Ag",1.83,2.52,1.45,3
"51","pa_b95","used","Al",NA,NA,NA,3
"52","pa_b95","used","As",0,0,0,3
"53","pa_b95","used","Cu",NA,NA,NA,3
"54","pa_b95","used","Fe",0,0,0,3
"55","pa_b95","used","Mn",NA,NA,NA,3
"56","pa_b95","used","Zn",0,0,0,3
"57","pa_g33","new","Ag",2.78,2.81,1.41,4
"58","pa_g33","new","Al",0.37,0.73,0.37,4
"59","pa_g33","new","As",7.01,5.03,2.51,4
"60","pa_g33","new","Cu",12.61,21.84,10.92,4
"61","pa_g33","new","Fe",2.72,1.89,0.94,4
"62","pa_g33","new","Mn",0.68,0.09,0.05,4
"63","pa_g33","new","Zn",0,0,0,4
"64","pa_g33","used","Ag",0,0,0,4
"65","pa_g33","used","Al",0,0,0,4
"66","pa_g33","used","As",0,0,0,4
"67","pa_g33","used","Cu",0,0,0,4
"68","pa_g33","used","Fe",1.56,1.88,0.94,4
"69","pa_g33","used","Mn",2.73,3.42,1.71,4
"70","pa_g33","used","Zn",0,0,0,4
"71","pa_g60","new","Ag",0,0,0,3
"72","pa_g60","new","Al",0,0,0,3
"73","pa_g60","new","As",0,0,0,3
"74","pa_g60","new","Cu",NA,NA,NA,3
"75","pa_g60","new","Fe",0,0,0,3
"76","pa_g60","new","Mn",0,NA,NA,3
"77","pa_g60","new","Zn",0,0,0,3
"78","pa_g60","used","Ag",0,0,0,5
"79","pa_g60","used","Al",0,0,0,5
"80","pa_g60","used","As",0,0,0,5
"81","pa_g60","used","Cu",0,0,0,5
"82","pa_g60","used","Fe",0,0,0,5
"83","pa_g60","used","Mn",0,0,0,5
"84","pa_g60","used","Zn",0,0,0,5
"85","pbd_d35","new","Ag",3.7,1.49,0.67,5
"86","pbd_d35","new","Al",0,0,0,5
"87","pbd_d35","new","As",3,3.09,1.38,5
"88","pbd_d35","new","Cu",194.55,27.07,12.11,5
"89","pbd_d35","new","Fe",0.01,0.01,0.01,5
"90","pbd_d35","new","Mn",4.05,1.31,0.58,5
"91","pbd_d35","new","Zn",278.52,77.71,34.75,5
"92","pbd_d35","used","Ag",22.8,6.61,3.81,3
"93","pbd_d35","used","Al",150.93,213.45,123.23,3
"94","pbd_d35","used","As",11.08,1.96,1.13,3
"95","pbd_d35","used","Cu",14.35,9.46,5.46,3
"96","pbd_d35","used","Fe",132.4,188.48,108.82,3
"97","pbd_d35","used","Mn",101.03,17.5,10.1,3
"98","pbd_d35","used","Zn",1020.71,86.78,50.1,3
"99","pbd_d60","new","Ag",1.93,1.84,0.82,5
"100","pbd_d60","new","Al",26.05,58.25,26.05,5
"101","pbd_d60","new","As",6.75,2.39,1.07,5
"102","pbd_d60","new","Cu",251.59,112.17,50.16,5
"103","pbd_d60","new","Fe",15.85,12.67,5.66,5
"104","pbd_d60","new","Mn",4.09,0.56,0.25,5
"105","pbd_d60","new","Zn",197.72,15.74,7.04,5
"106","pbd_d60","used","Ag",5.24,1.34,0.55,6
"107","pbd_d60","used","Al",122.12,220.1,89.85,6
"108","pbd_d60","used","As",0,0,0,6
"109","pbd_d60","used","Cu",64.83,63.39,25.88,6
"110","pbd_d60","used","Fe",14.6,10.03,4.09,6
"111","pbd_d60","used","Mn",33,19.94,8.14,6
"112","pbd_d60","used","Zn",409.71,45,18.37,6
