"","FN","state","n","Dead_avg","Dead_sd","Dead_se"
"1","HPPE ε ø4.25","n",3,0.666666666666667,0.577350269189626,0.333333333333333
"2","HPPE ε ø4.25","u",3,3,1,0.577350269189626
"3","PA α ø.35","n",3,0,0,0
"4","PA α ø.35","u",3,0.666666666666667,0.577350269189626,0.333333333333333
"5","PA β ø.33","n",3,1,1,0.577350269189626
"6","PA β ø.33","u",3,1,1,0.577350269189626
"7","PA β ø.95","n",3,1,1,0.577350269189626
"8","PA β ø.95","u",3,1,0,0
"9","PA γ ø.33","n",3,0.333333333333333,0.577350269189626,0.333333333333333
"10","PA γ ø.33","u",3,0.666666666666667,0.577350269189626,0.333333333333333
"11","PA γ ø.60","n",3,1.33333333333333,1.52752523165195,0.881917103688197
"12","PA γ ø.60","u",3,1,1,0.577350269189626
"13","PBS δ ø.35","n",3,1,0,0
"14","PBS δ ø.35","u",3,0.333333333333333,0.577350269189626,0.333333333333333
"15","PBS δ ø.60","n",3,0.666666666666667,0.577350269189626,0.333333333333333
"16","PBS δ ø.60","u",3,4.66666666666667,1.52752523165195,0.881917103688197
"17","Solvent control","n",3,0.666666666666667,1.15470053837925,0.666666666666667
"18","Solvent control","u",7,0.285714285714286,0.755928946018454,0.285714285714286
