year,iso3_code,fao_area_code,GFWCategory,total_f_hours_length,total_f_hours_tonnage,total_f_hours_kw,total_f_hours,total_hours,total_days,n_vessel
2023,BEL,27,trawlers,156568.774975,1606654.8636111112,4974184.333333334,4145.153611111112,5883,172.71473379629631,8
2023,ESP,27,drifting_longlines,41892.90989444445,223799.850275,562186.1074722223,1933.7966666666669,4695,80.57486111111112,7
2023,ESP,27,pole_and_line,11130.093236111108,43204.08722222221,157257.15302499998,379.6424999999999,1478,15.818437499999998,2
2023,ESP,27,pots_and_traps,151696.39934944446,658170.893067239,1988567.3783985032,7786.658323055556,15492,324.4440967939815,23
2023,ESP,27,seiners,1616889.4941461945,7669276.870278789,29435098.391579457,56955.80222,226357,2373.1584258333332,157
2023,ESP,27,set_gillnets,583232.5610000138,1433019.023431061,4873794.676388761,38773.42984416667,74135,1615.5595768402777,131
2023,ESP,27,set_longlines,1362179.4171103556,9047271.114271685,22360000.108640067,53325.2009425,63170,2221.8833726041667,73
2023,ESP,27,trawlers,1571019.0286118055,15282639.816137621,28199757.850983888,46361.48903138889,60349,1931.7287096412035,34
2023,FRA,27,dredge_fishing,3338.400783333333,6553.778422222223,53403.22861111111,279.59805555555556,275,11.649918981481482,1
2023,FRA,27,pole_and_line,618.1091388888889,467.4775,7635.465833333334,51.941944444444445,347,2.164247685185185,1
2023,FRA,27,pots_and_traps,158330.41138152502,664492.3279541306,2039353.633478889,9679.260378611112,12730,403.30251577546295,15
2023,FRA,27,seiners,8411.358152069444,35181.55110668611,143953.44615694444,396.8536086111111,2199,16.53556702546296,3
2023,FRA,27,set_gillnets,1589925.5101764584,8478087.769976873,25753480.99117889,88938.40024972222,150739,3705.766677071759,95
2023,FRA,27,set_longlines,329232.70759525,2499025.6353097996,6573972.743770277,15830.193598055555,23250,659.5913999189814,23
2023,FRA,27,trawlers,1580029.2017599028,6977145.494833066,29479914.102593612,93547.77612,146692,3897.824005,118
2023,GBR,27,trawlers,0,98.84912222222222,359.9844444444444,0.8144444444444444,14,0.033935185185185186,1
2023,IRL,27,seiners,0,1404.2138888888887,3034.2111111111108,3.961111111111111,43,0.16504629629629627,1
2023,IRL,27,trawlers,226.79513888888889,184019.8405555556,393849.9267222223,827.8425000000001,3071,34.493437500000006,12
2023,PRT,27,set_longlines,2250.7358,13513.883333333333,31298.183333333334,85.60222222222222,249,3.566759259259259,2
2023,PRT,27,trawlers,45.56523611111111,332.4153583333333,1119.052861111111,1.833611111111111,20,0.07640046296296296,1
