year,iso3_code,fao_area_code,GFWCategory,total_catch_gfw_cat,total_catch_fishery
2022,BEL,27,dredge_fishing,0.45591640459412724,0.39299999999999996
2022,BEL,27,pots_and_traps,32.110344827586204,32.110344827586204
2022,BEL,27,seiners,19.445274286358597,8.69
2022,BEL,27,trawlers,419.66293247176355,214.90665517241374
2022,ESP,27,dredge_fishing,39.582125531894434,37.34550414914173
2022,ESP,27,drifting_longlines,356.4506628438012,350.9211525763467
2022,ESP,27,driftnets,446.95261823936426,357.56216226052567
2022,ESP,27,pole_and_line,1046.3044493017399,947.9518326133918
2022,ESP,27,pots_and_traps,503.5016328780126,419.9759633097001
2022,ESP,27,seiners,25859.614807510727,25859.614807510727
2022,ESP,27,set_gillnets,299.62795163447555,249.25305334615516
2022,ESP,27,set_longlines,4636.44263733139,3553.514653258032
2022,ESP,27,trawlers,13860.822889726249,9813.882079831292
2022,ESP,27,trollers,2985.3178227666117,2391.241253347735
2022,ESP,27,NA,0.00269978401727862,0.00269978401727862
2022,FRA,27,dredge_fishing,64.49612314703043,54.8217039919095
2022,FRA,27,pots_and_traps,147.60900676486318,123.10590990671074
2022,FRA,27,seiners,2557.016309884647,2411.979123767816
2022,FRA,27,set_gillnets,5849.714668350727,4401.828096026677
2022,FRA,27,set_longlines,573.312763847779,437.31712952869003
2022,FRA,27,trawlers,10294.167611205925,6638.194714963943
2022,IRL,27,dredge_fishing,0.005573413322970677,0.0048042823240807405
2022,IRL,27,trawlers,0.47720475917670274,0.38434258592645926
2022,PRT,27,drifting_longlines,52.548739990857676,48.66013585177397
2022,PRT,27,pots_and_traps,0.8432400485234858,0.703262175377803
2022,PRT,27,seiners,31.83730951671994,30.340955826613662
2022,PRT,27,set_gillnets,15.56562538376761,11.50299696151056
2022,PRT,27,set_longlines,40.71920374867287,30.987313324250014
2022,PRT,27,trawlers,1265.8991023125836,887.464315342116
2023,BEL,27,dredge_fishing,0.48723888688787864,0.42
2023,BEL,27,pots_and_traps,27.393103448275863,27.393103448275863
2023,BEL,27,seiners,29.366978621926265,13.154
2023,BEL,27,trawlers,561.382938858197,284.4328965517241
2023,ESP,27,dredge_fishing,25.845824021389127,24.135989541889295
2023,ESP,27,drifting_longlines,364.9144469539825,358.72168726565536
2023,ESP,27,driftnets,371.33933976024326,297.07152802930955
2023,ESP,27,pole_and_line,1901.842254895127,1723.0690857451402
2023,ESP,27,pots_and_traps,434.52884092417236,362.4871594536887
2023,ESP,27,seiners,23325.03737377362,23325.03737377362
2023,ESP,27,set_gillnets,340.3971106643019,288.6015148333737
2023,ESP,27,set_longlines,4495.841843840835,3447.0817703030943
2023,ESP,27,trawlers,13122.767681966085,9555.488275287502
2023,ESP,27,trollers,5137.331572924993,4115.003239956804
2023,FRA,27,dredge_fishing,72.81840202859277,61.8956409530978
2023,FRA,27,pots_and_traps,143.3532905173188,119.55664249033589
2023,FRA,27,seiners,2077.45536220913,1956.437920645392
2023,FRA,27,set_gillnets,5092.220929367921,3831.3182542572936
2023,FRA,27,set_longlines,531.1953220143789,406.35717808414785
2023,FRA,27,trawlers,10809.25440385351,7067.486814973622
2023,IRL,27,dredge_fishing,0.05947164394275765,0.051264557502066536
2023,IRL,27,seiners,642.462243412527,642.462243412527
2023,IRL,27,trawlers,5.0920593684624516,4.1011646001653235
2023,PRT,27,drifting_longlines,0.1384913057287559,0.12824295601042504
2023,PRT,27,pots_and_traps,1.3086781314708493,1.0914375227066966
2023,PRT,27,seiners,17.346789669362444,16.531490476919448
2023,PRT,27,set_gillnets,13.434331610214457,9.927970889779582
2023,PRT,27,set_longlines,0.9193430097281385,0.6996200139555369
2023,PRT,27,trawlers,709.0128970467885,491.8156225898721
