Observation,2022,2023
catch,59456.91400323983,58557.47635291583
pr_catch,59314.65996652268,58431.95913261338
pr_capture,71400.50724791312,70254.54856472908
pr_catch_industrial,20258.511128820854,21982.544501564473
pr_catch_non-industrial,32753.378818263405,33372.45247834914
pr_catch_NA,6302.770019438449,3076.962152699786
pr_capture_industrial,27478.051081077818,29156.77553854973
pr_capture_non-industrial,37619.68614739692,38020.810873479604
pr_capture_NA,6302.770019438449,3076.962152699786
trawlers,15524.999140221285,14815.433448268343
set_gillnets,2085.341748905324,1842.1013774374444
pots_and_traps,536.1204445359797,462.68796591644605
driftnets,446.95261823936426,371.33933976024326
drifting_longlines,127.27164905496082,83.82438534394424
seiners,54.49226851526318,50.87761694815774
tuna_ps,NA,NA
